# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
d88e88000000	fmul dword ptr [esi + 88h]
894e44	mov dword ptr [esi + 44h], ecx
8a4e3c	mov cl, byte ptr [esi + 3Ch]
680000c844	push 44C80000h
d94654	fld dword ptr [esi + 54h]
d94658	fld dword ptr [esi + 58h]
d94668	fld dword ptr [esi + 68h]
d9466c	fld dword ptr [esi + 6Ch]
d9465c	fld dword ptr [esi + 5Ch]
d94660	fld dword ptr [esi + 60h]
d94670	fld dword ptr [esi + 70h]
81ecd0000000	sub esp, 0D0h
8a433d	mov al, byte ptr [ebx + 3Dh]
8b4818	mov ecx, dword ptr [eax + 18h]
8b5020	mov edx, dword ptr [eax + 20h]
8d8d30ffffff	lea ecx, [ebp - 0D0h]
d99d78ffffff	fstp dword ptr [ebp - 88h]
898d70ffffff	mov dword ptr [ebp - 90h], ecx
895590	mov dword ptr [ebp - 70h], edx
894598	mov dword ptr [ebp - 68h], eax
68db0fc9bf	push 0BFC90FDBh
8d9570ffffff	lea edx, [ebp - 90h]
8b4344	mov eax, dword ptr [ebx + 44h]
d9435c	fld dword ptr [ebx + 5Ch]
d94360	fld dword ptr [ebx + 60h]
d8635c	fsub dword ptr [ebx + 5Ch]
d84b4c	fmul dword ptr [ebx + 4Ch]
d94350	fld dword ptr [ebx + 50h]
d84350	fadd dword ptr [ebx + 50h]
d95350	fst dword ptr [ebx + 50h]
d95b50	fstp dword ptr [ebx + 50h]
d86b50	fsubr dword ptr [ebx + 50h]
d94370	fld dword ptr [ebx + 70h]
d94374	fld dword ptr [ebx + 74h]
d86370	fsub dword ptr [ebx + 70h]
d94364	fld dword ptr [ebx + 64h]
d84364	fadd dword ptr [ebx + 64h]
d95364	fst dword ptr [ebx + 64h]
d95b64	fstp dword ptr [ebx + 64h]
d94354	fld dword ptr [ebx + 54h]
d94358	fld dword ptr [ebx + 58h]
d86354	fsub dword ptr [ebx + 54h]
d94368	fld dword ptr [ebx + 68h]
d9436c	fld dword ptr [ebx + 6Ch]
d86368	fsub dword ptr [ebx + 68h]
d86b64	fsubr dword ptr [ebx + 64h]
d94378	fld dword ptr [ebx + 78h]
d9437c	fld dword ptr [ebx + 7Ch]
81ca00ffffff	or edx, 0FFFFFF00h
c1e208	shl edx, 8
d98380000000	fld dword ptr [ebx + 80h]
b910000000	mov ecx, 10h
80c988	or cl, 88h
837b4403	cmp dword ptr [ebx + 44h], 3
8b4e64	mov ecx, dword ptr [esi + 64h]
8d75d0	lea esi, [ebp - 30h]
83c434	add esp, 34h
8d450c	lea eax, [ebp + 0Ch]
80ca88	or dl, 88h
68333333bf	push 0BF333333h
683333333f	push 3F333333h
d94664	fld dword ptr [esi + 64h]
894664	mov dword ptr [esi + 64h], eax
80cb88	or bl, 88h
0f95c3	setne bl
f7791c	idiv dword ptr [ecx + 1Ch]
8b4918	mov ecx, dword ptr [ecx + 18h]
6639bebc000000	cmp word ptr [esi + 0BCh], di
8d4f04	lea ecx, [edi + 4]
0fbf96bc000000	movsx edx, word ptr [esi + 0BCh]
8b4738	mov eax, dword ptr [edi + 38h]
8b4718	mov eax, dword ptr [edi + 18h]
8b582c	mov ebx, dword ptr [eax + 2Ch]
8b14b1	mov edx, dword ptr [ecx + esi*4]
83fa03	cmp edx, 3
8b0cb0	mov ecx, dword ptr [eax + esi*4]
f6402001	test byte ptr [eax + 20h], 1
394850	cmp dword ptr [eax + 50h], ecx
83fa06	cmp edx, 6
3b7030	cmp esi, dword ptr [eax + 30h]
8b5624	mov edx, dword ptr [esi + 24h]
8d8684000000	lea eax, [esi + 84h]
8d8e8c000000	lea ecx, [esi + 8Ch]
8d564c	lea edx, [esi + 4Ch]
8d4654	lea eax, [esi + 54h]
8d5668	lea edx, [esi + 68h]
8d466c	lea eax, [esi + 6Ch]
8d5660	lea edx, [esi + 60h]
8d4e74	lea ecx, [esi + 74h]
83c678	add esi, 78h
89500c	mov dword ptr [eax + 0Ch], edx
8b710c	mov esi, dword ptr [ecx + 0Ch]
897010	mov dword ptr [eax + 10h], esi
8b7110	mov esi, dword ptr [ecx + 10h]
897014	mov dword ptr [eax + 14h], esi
8b7114	mov esi, dword ptr [ecx + 14h]
897018	mov dword ptr [eax + 18h], esi
89501c	mov dword ptr [eax + 1Ch], edx
8b7118	mov esi, dword ptr [ecx + 18h]
897020	mov dword ptr [eax + 20h], esi
897024	mov dword ptr [eax + 24h], esi
8b7120	mov esi, dword ptr [ecx + 20h]
897028	mov dword ptr [eax + 28h], esi
89502c	mov dword ptr [eax + 2Ch], edx
8b5124	mov edx, dword ptr [ecx + 24h]
895030	mov dword ptr [eax + 30h], edx
8b5128	mov edx, dword ptr [ecx + 28h]
895034	mov dword ptr [eax + 34h], edx
8b492c	mov ecx, dword ptr [ecx + 2Ch]
894838	mov dword ptr [eax + 38h], ecx
c7403c0000803f	mov dword ptr [eax + 3Ch], 3F800000h
b80000803f	mov eax, 3F800000h
c746300000a041	mov dword ptr [esi + 30h], 41A00000h
c7411c00000000	mov dword ptr [ecx + 1Ch], 0
d85e2c	fcomp dword ptr [esi + 2Ch]
d9462c	fld dword ptr [esi + 2Ch]
d8f1	fdiv st, st(1)
d95e20	fstp dword ptr [esi + 20h]
b8000080bf	mov eax, 0BF800000h
d84628	fadd dword ptr [esi + 28h]
d95628	fst dword ptr [esi + 28h]
d94620	fld dword ptr [esi + 20h]
d85e34	fcomp dword ptr [esi + 34h]
d85e38	fcomp dword ptr [esi + 38h]
895634	mov dword ptr [esi + 34h], edx
894608	mov dword ptr [esi + 8], eax
6885eb513f	push 3F51EB85h
8b4e0c	mov ecx, dword ptr [esi + 0Ch]
68cdcc4cbe	push 0BE4CCCCDh
c60600	mov byte ptr [esi], 0
c6460200	mov byte ptr [esi + 2], 0
c6460300	mov byte ptr [esi + 3], 0
385e01	cmp byte ptr [esi + 1], bl
885e01	mov byte ptr [esi + 1], bl
c6460301	mov byte ptr [esi + 3], 1
685c8f423f	push 3F428F5Ch
68e17a543f	push 3F547AE1h
680000a0c1	push 0C1A00000h
8a4825	mov cl, byte ptr [eax + 25h]
3acb	cmp cl, bl
8a4824	mov cl, byte ptr [eax + 24h]
8a4603	mov al, byte ptr [esi + 3]
8a4e02	mov cl, byte ptr [esi + 2]
c6460201	mov byte ptr [esi + 2], 1
80f901	cmp cl, 1
c6460202	mov byte ptr [esi + 2], 2
381e	cmp byte ptr [esi], bl
c60601	mov byte ptr [esi], 1
895e04	mov dword ptr [esi + 4], ebx
881e	mov byte ptr [esi], bl
885e02	mov byte ptr [esi + 2], bl
d84604	fadd dword ptr [esi + 4]
d95e04	fstp dword ptr [esi + 4]
8d8e90000000	lea ecx, [esi + 90h]
8d8eb8020000	lea ecx, [esi + 2B8h]
8d9e08040000	lea ebx, [esi + 408h]
8d8e88040000	lea ecx, [esi + 488h]
8d8e08050000	lea ecx, [esi + 508h]
c786040400000000803f	mov dword ptr [esi + 404h], 3F800000h
c78600040000cdcccc3d	mov dword ptr [esi + 400h], 3DCCCCCDh
6689bedc050000	mov word ptr [esi + 5DCh], di
8d8608050000	lea eax, [esi + 508h]
c7869c050000e3a59bbf	mov dword ptr [esi + 59Ch], 0BF9BA5E3h
c78698050000f4fd34bf	mov dword ptr [esi + 598h], 0BF34FDF4h
89be94050000	mov dword ptr [esi + 594h], edi
89bea0050000	mov dword ptr [esi + 5A0h], edi
c786a40500003789413e	mov dword ptr [esi + 5A4h], 3E418937h
89bea8050000	mov dword ptr [esi + 5A8h], edi
89be88050000	mov dword ptr [esi + 588h], edi
89be8c050000	mov dword ptr [esi + 58Ch], edi
89be90050000	mov dword ptr [esi + 590h], edi
c786000400006666663f	mov dword ptr [esi + 400h], 3F666666h
89bec8050000	mov dword ptr [esi + 5C8h], edi
89becc050000	mov dword ptr [esi + 5CCh], edi
b80000e040	mov eax, 40E00000h
89beac050000	mov dword ptr [esi + 5ACh], edi
89beb0050000	mov dword ptr [esi + 5B0h], edi
89beb4050000	mov dword ptr [esi + 5B4h], edi
8986f4030000	mov dword ptr [esi + 3F4h], eax
8986fc030000	mov dword ptr [esi + 3FCh], eax
6689bede050000	mov word ptr [esi + 5DEh], di
89bed8050000	mov dword ptr [esi + 5D8h], edi
89bef0030000	mov dword ptr [esi + 3F0h], edi
89bef8030000	mov dword ptr [esi + 3F8h], edi
89bed4060000	mov dword ptr [esi + 6D4h], edi
c786d005000000002043	mov dword ptr [esi + 5D0h], 43200000h
c786d40500000000fa45	mov dword ptr [esi + 5D4h], 45FA0000h
c6860406000001	mov byte ptr [esi + 604h], 1
c786d806000001000000	mov dword ptr [esi + 6D8h], 1
8d8e08040000	lea ecx, [esi + 408h]
8dbeb8020000	lea edi, [esi + 2B8h]
8d4f18	lea ecx, [edi + 18h]
8dbea4010000	lea edi, [esi + 1A4h]
8dbe90000000	lea edi, [esi + 90h]
89be40060000	mov dword ptr [esi + 640h], edi
89be3c060000	mov dword ptr [esi + 63Ch], edi
89be38060000	mov dword ptr [esi + 638h], edi
89be4c060000	mov dword ptr [esi + 64Ch], edi
89be48060000	mov dword ptr [esi + 648h], edi
89be44060000	mov dword ptr [esi + 644h], edi
89be58060000	mov dword ptr [esi + 658h], edi
89be54060000	mov dword ptr [esi + 654h], edi
89be50060000	mov dword ptr [esi + 650h], edi
89be64060000	mov dword ptr [esi + 664h], edi
89be60060000	mov dword ptr [esi + 660h], edi
89be5c060000	mov dword ptr [esi + 65Ch], edi
89be70060000	mov dword ptr [esi + 670h], edi
89be6c060000	mov dword ptr [esi + 66Ch], edi
89be68060000	mov dword ptr [esi + 668h], edi
89be7c060000	mov dword ptr [esi + 67Ch], edi
89be78060000	mov dword ptr [esi + 678h], edi
89be74060000	mov dword ptr [esi + 674h], edi
89be88060000	mov dword ptr [esi + 688h], edi
89be84060000	mov dword ptr [esi + 684h], edi
89be80060000	mov dword ptr [esi + 680h], edi
89be94060000	mov dword ptr [esi + 694h], edi
89be90060000	mov dword ptr [esi + 690h], edi
89be8c060000	mov dword ptr [esi + 68Ch], edi
89bea0060000	mov dword ptr [esi + 6A0h], edi
89be9c060000	mov dword ptr [esi + 69Ch], edi
89be98060000	mov dword ptr [esi + 698h], edi
898680000000	mov dword ptr [esi + 80h], eax
8d96d4050000	lea edx, [esi + 5D4h]
6800004844	push 44480000h
05c4020000	add eax, 2C4h
8d8e2c060000	lea ecx, [esi + 62Ch]
8b86f8050000	mov eax, dword ptr [esi + 5F8h]
8b9600060000	mov edx, dword ptr [esi + 600h]
8b8ed8050000	mov ecx, dword ptr [esi + 5D8h]
8b8680000000	mov eax, dword ptr [esi + 80h]
8d96d0050000	lea edx, [esi + 5D0h]
055c0e0000	add eax, 0E5Ch
8d8e20060000	lea ecx, [esi + 620h]
8b86f4050000	mov eax, dword ptr [esi + 5F4h]
8d5034	lea edx, [eax + 34h]
83c030	add eax, 30h
8d8614060000	lea eax, [esi + 614h]
8b96e0050000	mov edx, dword ptr [esi + 5E0h]
8b8e00060000	mov ecx, dword ptr [esi + 600h]
81c13c170000	add ecx, 173Ch
81c6ac050000	add esi, 5ACh
894e08	mov dword ptr [esi + 8], ecx
8d9574ffffff	lea edx, [ebp - 8Ch]
c6860406000000	mov byte ptr [esi + 604h], 0
8986e0050000	mov dword ptr [esi + 5E0h], eax
8986e4050000	mov dword ptr [esi + 5E4h], eax
8986ec050000	mov dword ptr [esi + 5ECh], eax
8986f0050000	mov dword ptr [esi + 5F0h], eax
8986f4050000	mov dword ptr [esi + 5F4h], eax
8986f8050000	mov dword ptr [esi + 5F8h], eax
8986fc050000	mov dword ptr [esi + 5FCh], eax
8986e8050000	mov dword ptr [esi + 5E8h], eax
898600060000	mov dword ptr [esi + 600h], eax
8d8e08060000	lea ecx, [esi + 608h]
83c444	add esp, 44h
89962c060000	mov dword ptr [esi + 62Ch], edx
81c688050000	add esi, 588h
895604	mov dword ptr [esi + 4], edx
8d8150020000	lea eax, [ecx + 250h]
8d91cc030000	lea edx, [ecx + 3CCh]
8b30	mov esi, dword ptr [eax]
8932	mov dword ptr [edx], esi
8b7004	mov esi, dword ptr [eax + 4]
897204	mov dword ptr [edx + 4], esi
8d913c010000	lea edx, [ecx + 13Ch]
8d81d8030000	lea eax, [ecx + 3D8h]
8b32	mov esi, dword ptr [edx]
8b7204	mov esi, dword ptr [edx + 4]
8d8164030000	lea eax, [ecx + 364h]
81c1e4030000	add ecx, 3E4h
8d81cc030000	lea eax, [ecx + 3CCh]
8d9150020000	lea edx, [ecx + 250h]
8d91d8030000	lea edx, [ecx + 3D8h]
8d813c010000	lea eax, [ecx + 13Ch]
8d81e4030000	lea eax, [ecx + 3E4h]
81c164030000	add ecx, 364h
668981dc050000	mov word ptr [ecx + 5DCh], ax
895110	mov dword ptr [ecx + 10h], edx
66c781dc0500000000	mov word ptr [ecx + 5DCh], 0
668981de050000	mov word ptr [ecx + 5DEh], ax
66c781de0500000000	mov word ptr [ecx + 5DEh], 0
8a8604060000	mov al, byte ptr [esi + 604h]
894e1c	mov dword ptr [esi + 1Ch], ecx
895620	mov dword ptr [esi + 20h], edx
894e28	mov dword ptr [esi + 28h], ecx
89562c	mov dword ptr [esi + 2Ch], edx
895638	mov dword ptr [esi + 38h], edx
894e40	mov dword ptr [esi + 40h], ecx
8d8694050000	lea eax, [esi + 594h]
895644	mov dword ptr [esi + 44h], edx
8d8e44040000	lea ecx, [esi + 444h]
8d9644050000	lea edx, [esi + 544h]
8d8ea0050000	lea ecx, [esi + 5A0h]
8b86a0050000	mov eax, dword ptr [esi + 5A0h]
6683bedc05000000	cmp word ptr [esi + 5DCh], 0
66c786dc0500000000	mov word ptr [esi + 5DCh], 0
83ec60	sub esp, 60h
d9806c1d0000	fld dword ptr [eax + 1D6Ch]
8bbed4060000	mov edi, dword ptr [esi + 6D4h]
8845f8	mov byte ptr [ebp - 8], al
0f9545fd	setne byte ptr [ebp - 3]
0f9545fe	setne byte ptr [ebp - 2]
0f9545ff	setne byte ptr [ebp - 1]
0bf8	or edi, eax
80fb01	cmp bl, 1
8a8128010000	mov al, byte ptr [ecx + 128h]
8b912c010000	mov edx, dword ptr [ecx + 12Ch]
8b8130010000	mov eax, dword ptr [ecx + 130h]
8b9178010000	mov edx, dword ptr [ecx + 178h]
8b8174010000	mov eax, dword ptr [ecx + 174h]
680ad7233c	push 3C23D70Ah
8dbe50040000	lea edi, [esi + 450h]
bb88000000	mov ebx, 88h
8b8ee4050000	mov ecx, dword ptr [esi + 5E4h]
8d8650050000	lea eax, [esi + 550h]
8b8ef0050000	mov ecx, dword ptr [esi + 5F0h]
8b9904030000	mov ebx, dword ptr [ecx + 304h]
8d4da0	lea ecx, [ebp - 60h]
d98698060000	fld dword ptr [esi + 698h]
d945a0	fld dword ptr [ebp - 60h]
8d55a0	lea edx, [ebp - 60h]
d845c4	fadd dword ptr [ebp - 3Ch]
d845c8	fadd dword ptr [ebp - 38h]
d84da8	fmul dword ptr [ebp - 58h]
d845cc	fadd dword ptr [ebp - 34h]
d9869c060000	fld dword ptr [esi + 69Ch]
d945ac	fld dword ptr [ebp - 54h]
d945b0	fld dword ptr [ebp - 50h]
dec2	faddp st(2), st
d986a0060000	fld dword ptr [esi + 6A0h]
d8c2	fadd st, st(2)
0c88	or al, 88h
8b8600060000	mov eax, dword ptr [esi + 600h]
8b0c98	mov ecx, dword ptr [eax + ebx*4]
8b8eec050000	mov ecx, dword ptr [esi + 5ECh]
8d9e70020000	lea ebx, [esi + 270h]
8d8644060000	lea eax, [esi + 644h]
8d8650060000	lea eax, [esi + 650h]
8d9e5c010000	lea ebx, [esi + 15Ch]
8d8638060000	lea eax, [esi + 638h]
8d9e84030000	lea ebx, [esi + 384h]
8d8674060000	lea eax, [esi + 674h]
8d9e7c020000	lea ebx, [esi + 27Ch]
8d8680060000	lea eax, [esi + 680h]
8d9e68010000	lea ebx, [esi + 168h]
8d8668060000	lea eax, [esi + 668h]
8d9e90030000	lea ebx, [esi + 390h]
8b86e8050000	mov eax, dword ptr [esi + 5E8h]
8b8ee8050000	mov ecx, dword ptr [esi + 5E8h]
d98688050000	fld dword ptr [esi + 588h]
d8868c060000	fadd dword ptr [esi + 68Ch]
8d9ea4060000	lea ebx, [esi + 6A4h]
d98690060000	fld dword ptr [esi + 690h]
d8868c050000	fadd dword ptr [esi + 58Ch]
d98694060000	fld dword ptr [esi + 694h]
d88690050000	fadd dword ptr [esi + 590h]
8b9680000000	mov edx, dword ptr [esi + 80h]
d98264220000	fld dword ptr [edx + 2264h]
d88e00040000	fmul dword ptr [esi + 400h]
d84b18	fmul dword ptr [ebx + 18h]
d84b0c	fmul dword ptr [ebx + 0Ch]
d80b	fmul dword ptr [ebx]
d84b1c	fmul dword ptr [ebx + 1Ch]
d84b10	fmul dword ptr [ebx + 10h]
d84b04	fmul dword ptr [ebx + 4]
d84b20	fmul dword ptr [ebx + 20h]
d84b14	fmul dword ptr [ebx + 14h]
d84b08	fmul dword ptr [ebx + 8]
d86de8	fsubr dword ptr [ebp - 18h]
d865e4	fsub dword ptr [ebp - 1Ch]
d886c8060000	fadd dword ptr [esi + 6C8h]
d99ec8060000	fstp dword ptr [esi + 6C8h]
d886cc060000	fadd dword ptr [esi + 6CCh]
d99ecc060000	fstp dword ptr [esi + 6CCh]
d886d0060000	fadd dword ptr [esi + 6D0h]
d99ed0060000	fstp dword ptr [esi + 6D0h]
d94718	fld dword ptr [edi + 18h]
d88e64060000	fmul dword ptr [esi + 664h]
d9470c	fld dword ptr [edi + 0Ch]
d88e60060000	fmul dword ptr [esi + 660h]
d88e5c060000	fmul dword ptr [esi + 65Ch]
d9471c	fld dword ptr [edi + 1Ch]
d94710	fld dword ptr [edi + 10h]
8d45a0	lea eax, [ebp - 60h]
d94720	fld dword ptr [edi + 20h]
d94714	fld dword ptr [edi + 14h]
d845d4	fadd dword ptr [ebp - 2Ch]
8b8efc050000	mov ecx, dword ptr [esi + 5FCh]
f6812801000001	test byte ptr [ecx + 128h], 1
8b9130010000	mov edx, dword ptr [ecx + 130h]
8a45fe	mov al, byte ptr [ebp - 2]
3ad0	cmp dl, al
8a45fd	mov al, byte ptr [ebp - 3]
8d965c060000	lea edx, [esi + 65Ch]
8d8e44060000	lea ecx, [esi + 644h]
8d9650060000	lea edx, [esi + 650h]
8d8e74060000	lea ecx, [esi + 674h]
8d9680060000	lea edx, [esi + 680h]
8d868c060000	lea eax, [esi + 68Ch]
8d8e00040000	lea ecx, [esi + 400h]
8d9630010000	lea edx, [esi + 130h]
8d8634010000	lea eax, [esi + 134h]
8d8e44020000	lea ecx, [esi + 244h]
8d9648020000	lea edx, [esi + 248h]
8d8658030000	lea eax, [esi + 358h]
8d8e5c030000	lea ecx, [esi + 35Ch]
81c698060000	add esi, 698h
8d8ecc000000	lea ecx, [esi + 0CCh]
897e2c	mov dword ptr [esi + 2Ch], edi
897e30	mov dword ptr [esi + 30h], edi
897e34	mov dword ptr [esi + 34h], edi
897e38	mov dword ptr [esi + 38h], edi
897e3c	mov dword ptr [esi + 3Ch], edi
897e40	mov dword ptr [esi + 40h], edi
897e44	mov dword ptr [esi + 44h], edi
81f980020000	cmp ecx, 280h
ba64000000	mov edx, 64h
d3fb	sar ebx, cl
ba29000000	mov edx, 29h
895654	mov dword ptr [esi + 54h], edx
8d9080020000	lea edx, [eax + 280h]
b858000000	mov eax, 58h
d3f8	sar eax, cl
894674	mov dword ptr [esi + 74h], eax
8b5658	mov edx, dword ptr [esi + 58h]
8d5e68	lea ebx, [esi + 68h]
668b4a04	mov cx, word ptr [edx + 4]
ba10000000	mov edx, 10h
b82e000000	mov eax, 2Eh
8996bc000000	mov dword ptr [esi + 0BCh], edx
ba13000000	mov edx, 13h
b8f2ffffff	mov eax, 0FFFFFFF2h
8996f4000000	mov dword ptr [esi + 0F4h], edx
8986f8000000	mov dword ptr [esi + 0F8h], eax
8bb868010000	mov edi, dword ptr [eax + 168h]
03f9	add edi, ecx
d1e9	shr ecx, 1
83e90f	sub ecx, 0Fh
668b5704	mov dx, word ptr [edi + 4]
d1ea	shr edx, 1
db4640	fild dword ptr [esi + 40h]
895630	mov dword ptr [esi + 30h], edx
d1e1	shl ecx, 1
d88864220000	fmul dword ptr [eax + 2264h]
83c0f0	add eax, -10h
668b5706	mov dx, word ptr [edi + 6]
668b4f04	mov cx, word ptr [edi + 4]
8b5638	mov edx, dword ptr [esi + 38h]
89411c	mov dword ptr [ecx + 1Ch], eax
8b7620	mov esi, dword ptr [esi + 20h]
39461c	cmp dword ptr [esi + 1Ch], eax
8b5818	mov ebx, dword ptr [eax + 18h]
66398afa050000	cmp word ptr [edx + 5FAh], cx
f6402c01	test byte ptr [eax + 2Ch], 1
84582c	test byte ptr [eax + 2Ch], bl
6683b9fa05000000	cmp word ptr [ecx + 5FAh], 0
837dfc02	cmp dword ptr [ebp - 4], 2
6683bafa05000000	cmp word ptr [edx + 5FAh], 0
83f301	xor ebx, 1
837dfc01	cmp dword ptr [ebp - 4], 1
8a825a0e0000	mov al, byte ptr [edx + 0E5Ah]
8a82590e0000	mov al, byte ptr [edx + 0E59h]
83f701	xor edi, 1
c745f403000000	mov dword ptr [ebp - 0Ch], 3
894840	mov dword ptr [eax + 40h], ecx
8b5140	mov edx, dword ptr [ecx + 40h]
66c781fa0500000100	mov word ptr [ecx + 5FAh], 1
8986a8000000	mov dword ptr [esi + 0A8h], eax
89869c000000	mov dword ptr [esi + 9Ch], eax
b900000040	mov ecx, 40000000h
c746280000003f	mov dword ptr [esi + 28h], 3F000000h
894e2c	mov dword ptr [esi + 2Ch], ecx
894e38	mov dword ptr [esi + 38h], ecx
ba00002040	mov edx, 40200000h
c74634000000bf	mov dword ptr [esi + 34h], 0BF000000h
894e4c	mov dword ptr [esi + 4Ch], ecx
895650	mov dword ptr [esi + 50h], edx
894654	mov dword ptr [esi + 54h], eax
894e58	mov dword ptr [esi + 58h], ecx
c7465c00009040	mov dword ptr [esi + 5Ch], 40900000h
894660	mov dword ptr [esi + 60h], eax
c74664000080bf	mov dword ptr [esi + 64h], 0BF800000h
895668	mov dword ptr [esi + 68h], edx
89466c	mov dword ptr [esi + 6Ch], eax
c74670000080bf	mov dword ptr [esi + 70h], 0BF800000h
c7467400009040	mov dword ptr [esi + 74h], 40900000h
894e7c	mov dword ptr [esi + 7Ch], ecx
898e84000000	mov dword ptr [esi + 84h], ecx
898e88000000	mov dword ptr [esi + 88h], ecx
898690000000	mov dword ptr [esi + 90h], eax
898e98000000	mov dword ptr [esi + 98h], ecx
c786b00000000000803e	mov dword ptr [esi + 0B0h], 3E800000h
8b7718	mov esi, dword ptr [edi + 18h]
c7471800000000	mov dword ptr [edi + 18h], 0
898ea0000000	mov dword ptr [esi + 0A0h], ecx
8996a4000000	mov dword ptr [esi + 0A4h], edx
83fb0a	cmp ebx, 0Ah
899e9c000000	mov dword ptr [esi + 9Ch], ebx
c7869c0000000a000000	mov dword ptr [esi + 9Ch], 0Ah
8986ac000000	mov dword ptr [esi + 0ACh], eax
8b8eac000000	mov ecx, dword ptr [esi + 0ACh]
6810101000	push 101010h
8b1439	mov edx, dword ptr [ecx + edi]
8b96ac000000	mov edx, dword ptr [esi + 0ACh]
89443a20	mov dword ptr [edx + edi + 20h], eax
c786b400000003000000	mov dword ptr [esi + 0B4h], 3
894c02fc	mov dword ptr [edx + eax - 4], ecx
8b86a8000000	mov eax, dword ptr [esi + 0A8h]
8b869c000000	mov eax, dword ptr [esi + 9Ch]
83beb400000003	cmp dword ptr [esi + 0B4h], 3
81ec7c010000	sub esp, 17Ch
8b839c000000	mov eax, dword ptr [ebx + 9Ch]
8975b8	mov dword ptr [ebp - 48h], esi
8975bc	mov dword ptr [ebp - 44h], esi
8b4db8	mov ecx, dword ptr [ebp - 48h]
8b7dbc	mov edi, dword ptr [ebp - 44h]
8b7db8	mov edi, dword ptr [ebp - 48h]
83c124	add ecx, 24h
0bfa	or edi, edx
897db8	mov dword ptr [ebp - 48h], edi
8b93b8000000	mov edx, dword ptr [ebx + 0B8h]
83c205	add edx, 5
8d531c	lea edx, [ebx + 1Ch]
8b0c30	mov ecx, dword ptr [eax + esi]
8d4328	lea eax, [ebx + 28h]
8b4b28	mov ecx, dword ptr [ebx + 28h]
8d4b34	lea ecx, [ebx + 34h]
8b5334	mov edx, dword ptr [ebx + 34h]
8b83b8000000	mov eax, dword ptr [ebx + 0B8h]
8d5340	lea edx, [ebx + 40h]
8b4340	mov eax, dword ptr [ebx + 40h]
837c300c0a	cmp dword ptr [eax + esi + 0Ch], 0Ah
8b93ac000000	mov edx, dword ptr [ebx + 0ACh]
8b44320c	mov eax, dword ptr [edx + esi + 0Ch]
81e103000080	and ecx, 80000003h
83c9fc	or ecx, 0FFFFFFFCh
83e203	and edx, 3
8b93b0000000	mov edx, dword ptr [ebx + 0B0h]
c1f802	sar eax, 2
d955d4	fst dword ptr [ebp - 2Ch]
d8437c	fadd dword ptr [ebx + 7Ch]
8945b4	mov dword ptr [ebp - 4Ch], eax
db45b4	fild dword ptr [ebp - 4Ch]
d955ec	fst dword ptr [ebp - 14h]
d84d90	fmul dword ptr [ebp - 70h]
d9434c	fld dword ptr [ebx + 4Ch]
d95d84	fstp dword ptr [ebp - 7Ch]
8b4d84	mov ecx, dword ptr [ebp - 7Ch]
d95d88	fstp dword ptr [ebp - 78h]
d95d8c	fstp dword ptr [ebp - 74h]
8b5588	mov edx, dword ptr [ebp - 78h]
8b458c	mov eax, dword ptr [ebp - 74h]
d88384000000	fadd dword ptr [ebx + 84h]
d88388000000	fadd dword ptr [ebx + 88h]
d95d98	fstp dword ptr [ebp - 68h]
d94598	fld dword ptr [ebp - 68h]
8b4d9c	mov ecx, dword ptr [ebp - 64h]
8b55a0	mov edx, dword ptr [ebp - 60h]
d8838c000000	fadd dword ptr [ebx + 8Ch]
d88390000000	fadd dword ptr [ebx + 90h]
8b83b0000000	mov eax, dword ptr [ebx + 0B0h]
d84dd8	fmul dword ptr [ebp - 28h]
8b55a8	mov edx, dword ptr [ebp - 58h]
d945a8	fld dword ptr [ebp - 58h]
8b45ac	mov eax, dword ptr [ebp - 54h]
8b4db0	mov ecx, dword ptr [ebp - 50h]
d88394000000	fadd dword ptr [ebx + 94h]
d88398000000	fadd dword ptr [ebx + 98h]
d84ddc	fmul dword ptr [ebp - 24h]
8b4dc4	mov ecx, dword ptr [ebp - 3Ch]
8b55c8	mov edx, dword ptr [ebp - 38h]
8b45cc	mov eax, dword ptr [ebp - 34h]
83c43c	add esp, 3Ch
8b4dbc	mov ecx, dword ptr [ebp - 44h]
894dbc	mov dword ptr [ebp - 44h], ecx
8b8a64010000	mov ecx, dword ptr [edx + 164h]
df6de4	fild qword ptr [ebp - 1Ch]
81cf88000000	or edi, 88h
8b825c010000	mov eax, dword ptr [edx + 15Ch]
8bb260010000	mov esi, dword ptr [edx + 160h]
8b8268010000	mov eax, dword ptr [edx + 168h]
8b9264010000	mov edx, dword ptr [edx + 164h]
2bfe	sub edi, esi
0fafc6	imul eax, esi
0fafd1	imul edx, ecx
8b8b9c000000	mov ecx, dword ptr [ebx + 9Ch]
0faffe	imul edi, esi
8b440208	mov eax, dword ptr [edx + eax + 8]
8b83a8000000	mov eax, dword ptr [ebx + 0A8h]
d865f4	fsub dword ptr [ebp - 0Ch]
d865fc	fsub dword ptr [ebp - 4]
d89ba4000000	fcomp dword ptr [ebx + 0A4h]
894da4	mov dword ptr [ebp - 5Ch], ecx
c745b00000803f	mov dword ptr [ebp - 50h], 3F800000h
8955a8	mov dword ptr [ebp - 58h], edx
895598	mov dword ptr [ebp - 68h], edx
894da0	mov dword ptr [ebp - 60h], ecx
